filename	title	mode	text	position	sentence_index	recap_length	passage_length
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	summary	Jorge releases a small mouse into the glass enclosure of the baby corn snake.	0.00702	1	0	14
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	prediction	The baby corn snake lunges forward, its tongue flicking out as it quickly captures the mouse in its jaws.	0.00702	1	0	14
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	summary	The owner of Valparaiso Pet Needs rushes to feed the animals before the store opens to customers.	0.01805	2	14	22
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	prediction	A playful golden retriever manages to escape its pen, darting through the front door just as the first customers arrive.	0.01805	2	14	22
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	summary	The puppies eagerly bark as they anticipate their meal.	0.02357	3	31	11
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	prediction	The owner walks in with a bowl of kibble, delighting the eager puppies as they wag their tails in excitement.	0.02357	3	31	11
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	summary	He finishes sealing the snake casing and proceeds to get a large bag of dog food from the backroom.	0.0331	4	40	19
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	prediction	He pours the dog food into a bowl and calls the hungry dog, who rushes to his side with excitement.	0.0331	4	40	19
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	summary	The store feels cramped and small.	0.03561	5	59	5
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	prediction	A bell jingles as a customer opens the door, causing the store owner to look up with a welcoming smile.	0.03561	5	59	5
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	summary	The selection of pets is limited compared to that of the larger pet chains.	0.04112	6	65	11
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	prediction	The small pet store owner decides to reach out to local breeders to expand their selection.	0.04112	6	65	11
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	summary	In the past, they flourish without any competition.	0.04614	7	79	10
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/Cachildrun.txt	Dark_Is_the_New_Light	prediction	As new businesses emerge in the area, they scramble to adapt or risk losing everything they have built.	0.04614	7	79	10
